# overnight-seo-404.log 2026-09-20T01:03:10+00:00
sitemap: https://www.colddirect.co.uk/sitemap.xml
urls: 109
failures: 3
status | Desktop Status | Mobile Status | Robots tag | URL
OK | 200 | 200 | NONE | https://www.colddirect.co.uk/commercial-refrigeration-repair-greenwich/
OK | 200 | 200 | NONE | https://www.colddirect.co.uk/display-cabinet-repair-london/
OK | 200 | 200 | NONE | https://www.colddirect.co.uk/commercial-refrigeration-repair-westminster/
OK | 200 | 200 | NONE | https://www.colddirect.co.uk/cabinet-fridge-repair-london/
OK | 200 | 200 | NONE | https://www.colddirect.co.uk/commercial-refrigeration-repair-haringey/
OK | 200 | 200 | NONE | https://www.colddirect.co.uk/wine-cooler-repair-london/
OK | 200 | 200 | NONE | https://www.colddirect.co.uk/commercial-refrigeration-repair-chelsea/
OK | 200 | 200 | NONE | https://www.colddirect.co.uk/commercial-refrigeration-repair-brent/
OK | 200 | 200 | NONE | https://www.colddirect.co.uk/commercial-refrigeration-repair-lambeth/
OK | 200 | 200 | index, follow | https://www.colddirect.co.uk/air-conditioning-repair-london/
OK | 200 | 200 | NONE | https://www.colddirect.co.uk/hoshizaki-ice-machine-repair-london/
OK | 200 | 200 | NONE | https://www.colddirect.co.uk/commercial-refrigeration-repair-southwark/
OK | 200 | 200 | NONE | https://www.colddirect.co.uk/cold-room-repair-edgware/
OK | 200 | 200 | NONE | https://www.colddirect.co.uk/commercial-refrigeration-repair-city-of-london/
OK | 200 | 200 | NONE | https://www.colddirect.co.uk/walk-in-freezer-repair-london/
OK | 200 | 200 | NONE | https://www.colddirect.co.uk/commercial-refrigeration-repair-newham/
OK | 200 | 200 | NONE | https://www.colddirect.co.uk/ice-cream-machine-repair-london/
OK | 200 | 200 | NONE | https://www.colddirect.co.uk/open-front-display-repair-london/
OK | 200 | 200 | NONE | https://www.colddirect.co.uk/display-cooler-repair-london/
OK | 200 | 200 | NONE | https://www.colddirect.co.uk/cold-room-repair-tottenham/
OK | 200 | 200 | NONE | https://www.colddirect.co.uk/display-fridge-repair-london/
OK | 200 | 200 | NONE | https://www.colddirect.co.uk/commercial-freezer-repair-north-london/
OK | 200 | 200 | NONE | https://www.colddirect.co.uk/cold-room-repair-wood-green/
OK | 200 | 200 | NONE | https://www.colddirect.co.uk/commercial-refrigeration-repair-wandsworth/
OK | 200 | 200 | NONE | https://www.colddirect.co.uk/subzero-freezer-repair-london/
OK | 200 | 200 | NONE | https://www.colddirect.co.uk/commercial-fridge-repair-north-london/
OK | 200 | 200 | NONE | https://www.colddirect.co.uk/ice-machine-repair-north-london/
OK | 200 | 200 | NONE | https://www.colddirect.co.uk/cellar-cooler-repair-london/
